Trap,x,y,CamType
PS1,423483.8042,6383908.967,Trail
PS2,423597.6501,6386398.217,Trail
PS3,425165.5768,6388765.112,Trail
PS5,428023.2917,6392481.238,Trail
PS6,431812.3063,6394302.706,Trail
PS9,437026.9461,6402649.222,Trail
PS11,439252.656,6405986.504,Trail
PS12,439455.9293,6403913.578,Trail
PS13,441995.5766,6408728.728,Trail
PS14,443456.0396,6406084.261,Trail
PS15,446135.3775,6408278.451,Trail
PS16,447283.3255,6409990.619,Trail
PS17,450327.3588,6412204.396,Trail
PS18,449303.9698,6408384.757,Trail
PS19,452328.6289,6410508.042,Trail
PS20,453055.2261,6415147.383,Trail
PS21,454468.1361,6411339.402,Trail
PS23,432721.4991,6396085.316,Trail
PS24,426520.2766,6391585.037,Trail
PS25,435128.3781,6404139.8,Trail
PS26,434937.2176,6398877.046,Trail
PS27,450228.6662,6415141.993,Trail
Q1,423123.9449,6384989.461,Baited
Q2,423660.3476,6385658.007,Baited
Q3,423460.0349,6387171.221,Baited
Q4,424935.0874,6388965.262,Baited
Q5,425119.1426,6389901.344,Baited
Q6,425932.1259,6390171.274,Baited
Q7,427994.2258,6392191.786,Baited
Q8,428229.8478,6392649.02,Baited
Q9,429338.2463,6393108.364,Baited
Q10,432246.2283,6394838.682,Baited
Q11,433210.2698,6394727.664,Baited
Q12,432939.6891,6395801.316,Baited
Q13,434908.3211,6398873.31,Baited
Q14,435458.0518,6399636.93,Baited
Q15,436076.6763,6399831.914,Baited
Q16,436480.9538,6402287.033,Baited
Q17,436664.1994,6403447.337,Baited
Q18,437390.0079,6402903.149,Baited
Q19,435043.0087,6404338.129,Baited
Q20,434727.7749,6405006.446,Baited
Q21,434824.2998,6405449.402,Baited
Q22,438424.7863,6405320.738,Baited
Q23,439205.3992,6404390.082,Baited
Q24,439213.5864,6405921.304,Baited
Q25,442221.5048,6408259.223,Baited
Q26,441248.9857,6406969.514,Baited
Q27,442485.0135,6407050.733,Baited
Q28,445940.5215,6407673.126,Baited
Q29,445703.4461,6406782.001,Baited
Q30,444747.3274,6406776.889,Baited
Q31,449019.3394,6409522.243,Baited
Q32,447891.908,6410075.719,Baited
Q33,449031.5292,6410898.129,Baited
Q34,454791.6232,6410317.348,Baited
Q35,454489.0775,6411323.756,Baited
Q36,455644.9729,6411337.353,Baited
Q37,448803.6251,6414575.911,Baited
Q38,449688.0246,6413687.664,Baited
Q39,449794.3107,6414906.043,Baited
